Expert,Region,P_10_2050,P_25_2050,P_50_2050,P_75_2050,P_90_2050,period
Median,Middle Income,1,1.5,2.7,3.5,4,40
1,Middle Income,-5,0,1,2.5,5,90
2,Middle Income,1,1.5,2,2.5,3,90
3,Middle Income,1.5,2.1,2.7,2.9,3.1,90
4,Middle Income,2.33,2.54,2.78,3.01,3.16,90
5,Middle Income,0.5,1,1.5,2,1.5,90
6,Middle Income,0.1,0.4,1,2,3,90
7,Middle Income,1.4,1.6,2,2.3,2.6,90
8,Middle Income,0,1,3,3.75,4.55,90
9,Middle Income,1.5,2.5,3.5,4,4.5,90
10,Middle Income,0,1.5,2.1,3,4,90
11,Middle Income,0.75,1.5,2.2,3,4,90
12,Middle Income,-4,0,1,3,3.5,90
13,Middle Income,1,1.25,1.5,2,2.5,90
Mean,Middle Income,0.08,1.3,2.02,2.77,3.42,90
TrMean,Middle Income,0.34,1.3,1.98,2.72,3.45,90
Median,Middle Income,0.75,1.5,2,2.9,3.16,90
1,United States,-1,0.5,1.8,2.1,2.5,40
2,United States,0.5,1,1.5,2,2.5,40
3,United States,1.2,1.5,2,2.25,2.5,40
4,United States,2.18,2.46,2.81,3.1,3.41,40
5,United States,0,0.5,1,1.5,2,40
6,United States,0.2,0.4,1,1.5,2,40
7,United States,1.8,2,2.5,2.7,3,40
8,United States,0,0.75,1.5,2.5,3,40
9,United States,1.75,2.5,3.5,3.75,4,40
10,United States,1.2,1.5,2.1,2.5,3,40
11,United States,1,1.3,1.5,2,3,40
12,United States,-2,0.5,1.5,1.8,2,40
13,United States,0,0.5,1,1.25,1.5,40
Mean,United States,0.53,1.19,1.82,2.23,2.65,40
TrMean,United States,0.6,1.14,1.75,2.18,2.63,40
Median,United States,0.5,1,1.5,2.1,2.5,40
1,United States,-1,0,1.4,2,3.5,90
2,United States,0.5,1,1.5,2,2.5,90
3,United States,1.2,1.5,2,2.25,2.5,90
4,United States,1.6,1.79,2.03,2.29,2.52,90
5,United States,-0.5,0,0.5,1,1.5,90
6,United States,0.2,0.4,0.8,1.4,2,90
7,United States,1.3,1.5,2,2.2,2.5,90
8,United States,0,0.5,1.5,2.5,4,90
9,United States,1.5,2.25,3.5,3.6,3.75,90
10,United States,1.2,1.5,2.1,2.5,3,90
11,United States,1,1.3,1.5,2,3,90
12,United States,-3,0,1,2,2.3,90
13,United States,0,0.5,1,1.25,1.5,90
